"Blocking Key Value","Frequency"
"KO","990"
"BU","981"
"AI","972"
"FL","909"
"FU","902"
"GL","873"
"VO","860"
"EM","852"
"EC,EU","819"
"AG","805"
"ST","11129"
"JA","800"
"CA","11088"
"AB","791"
"SO","9860"
"RE","8558"
"BA","7400"
"PE","7366"
"MI","6739"
"MO","6137"
"NO","6075"
"UN","6030"
"CO","45738"
"IN","28000"
"MA","25576"
"TE","19803"
"ME","16566"
"TR","15048"
"AL","13840"
"SE","13419"
"SA","12864"
"PR","12006"
"NE","5882"
"DE","5880"
"BE","5698"
"AR","5598"
"EN","5439"
"PA,VI","4913"
"DA","4876"
"CE","4512"
"VE","4028"
"GE","3895"
"HA","3686"
"SC","3667"
"SI","3492"
"BI","3434"
"TO","3432"
"SU","3383"
"AC","3324"
"AM","3285"
"LI","3263"
"LA","3248"
"BR","3107"
"RO","2945"
"EL","2934"
"HE","2925"
"AU","2912"
"NA","2744"
"SP","2736"
"LO","2601"
"AS","2532"
"HO","2520"
"PO","2484"
"RA","2480"
"LE","2392"
"CI","2370"
"SH","2346"
"FR","2310"
"GA","2288"
"WE","2210"
"VA","2198"
"DI","2088"
"AN","1960"
"FA","1953"
"CL","1920"
"GR","1892"
"BO","1881"
"COCO","1872"
"FI","1776"
"CH","1683"
"SY","1668"
"KA","1625"
"AD","1554"
"OP","1512"
"OR","1470"
"TA","1449"
"AV","1420"
"QU","1350"
"WI","1305"
"GO","1298"
"WA","1276"
"IM","1256"
"HI","1177"
"FO","1162"
"NI","1140"
"EX","1080"
"AP","1057"
"KI","1044"
"RI","1035"
"FE","1032"
