unique_values,counts
KUKA,20
CorVel Corporation,10
Daqo New Energy,9
Shumerlya Special Vehicles Plant,8
Oreltekmash,6
NextEra Energy,6
Hokkaido Electric Power Company,6
Travelgenio,6
Takenaka Corporation,5
"Estudios, Montajes y Tendidos Eléctricos",5
Stratasys,4
Sumitomo Dainippon Pharma,4
GoDaddy,4
Nobina,4
Beasley Broadcast Group,4
LendingClub,4
Turku Repair Yard,4
Ixia (company),4
Nederlandse Spoorwegen,4
Kajima,4
Freeport-McMoRan,4
Botswana Power Corporation,4
Rlg Communications,4
Iran-Venezuela Bi-National Bank,4
Taiyo Yuden,4
Furukawa Electric,4
Solvay S.A.,4
Catamaran Corporation,3
Meyer Werft,3
Hydro One,3
Yorkshire Water,3
Telit,3
Sanyo,3
Improbable (company),3
GameStop,3
Takeda Pharmaceutical Company,3
Zilog,3
GE Aviation,3
Ellington Electronics Technology Group,3
Autodesk,3
Logicalis,3
Fairfax Media,3
Goldwind,3
GreenSky,3
Wacom,3
Schaeffler Group,3
Ams AG,3
Roussel Uclaf,3
Adtranz,3
Penta-Ocean,2
Peloton Interactive,2
Riso Kagaku Corporation,2
Roper Technologies,2
Petco,2
Ryobi,2
Paycom,2
SMC Corporation,2
SNVI,2
Rohm,2
Primerica,2
Pisiffik,2
PlaSmart,2
Rinnai,2
Public Service Enterprise Group,2
Publix,2
RIU Hotels,2
Rockwool International,2
Rocket Lab,2
Rauma Marine Constructions,2
Realogy,2
Reed's,2
Roadchef,2
PIN Group,2
Reynolds American,2
4INFO,2
Oki Electric Industry,2
Optiv,2
Nachi-Fujikoshi,2
Nihon Kohden,2
Nihon Dempa Kogyo,2
Nidec,2
Nichicon,2
NewMarket Corporation,2
Nestlé Purina PetCare,2
Nepal Telecom,2
Navitas Limited,2
Nakano Corporation,2
Nabtesco,2
Optimer Pharmaceuticals,2
NTN Corporation,2
NKK switches,2
NHK Spring Company,2
Murata Machinery,2
Morsam Fashions,2
Morozoff Ltd.,2
Morinaga & Company,2
Mizkan,2
Mitutoyo,2
Nikko Ceramics,2
Nippon Electric Glass,2
Nippon Flour Mills,2
Nippon Kayaku,2
Ono Pharmaceutical,2
Okuma Corporation,2
Sanlorenzo S.p.a.,2
Oji Paper Company,2
Ohara Corporation,2
Nudie Jeans,2
Noritake,2
Nitto Boseki,2
Nissin Kogyo,2
Nissin Electric,2
Nisshinbo Holdings,2
Nissan Chemical Corporation,2
Nipro,2
Nippon TV,2
Nippon Soda,2
Nippon Sheet Glass,2
Nippon Paper Industries,2
Nippon Paint,2
Nippon Light Metal,2
SUMCO,2
Shindengen Electric Manufacturing,2
Santen Pharmaceutical,2
"Ushio, Inc.",2
Ube Industries,2
Travelex,2
Transocean,2
Translational Genomics Research Institute,2
Toyobo,2
Toyo Tires,2
Toyo Suisan,2
Toyo Seikan,2
Toyo Engineering Corporation,2
Toto Ltd.,2
Tosoh,2
Toray Industries,2
Topy Industries,2
Toppan,2
TopoTarget,2
Topcon,2
Tokyo Electron,2
Tokuyama Corporation,2
Tokai Carbon,2
Unitika,2
Valtra,2
Toagosei,2
Varian Medical Systems,2
Zhejiang Tailong Commercial Bank,2
ZTE,2
Yokogawa Electric,2
Yazaki,2
Yamazaki Baking,2
Yamasaki & Associates,2
Yamabiko Corporation,2
YKK,2
Xilinx,2
Xiaomi,2
Wirecard,2
Winton Group,2
Western Marine Shipyard,2
Wessex Water,2
Warner Music Group,2
Wanda Group,2
Vista Outdoor,2
Videocon Group,2
Versace,2
Toho Zinc,2
The Timberland Company,2
Sartorius AG,2
Sumitomo Riko,2
Sumitomo Heavy Industries,2
Subway (restaurant),2
Steward Bank,2
Stericycle,2
Southern Water,2
South West Water,2
Sony,2
SkipTheDishes,2
Six Flags,2
SinnerSchrader,2
Siam Bioscience,2
Showa Corporation,2
Mitsui Engineering & Shipbuilding,2
Shin-Etsu Chemical,2
Shimano,2
Shimadzu,2
Serbia Zijin Bor Copper,2
Select Harvests,2
Seiko Instruments,2
Sumitomo Mitsui Construction,2
Sumitomo Rubber Industries,2
Thames Water,2
Sun-Rype,2
Terumo,2
Tencent,2
Telus Corporation,2
Teijin,2
Targit (company),2
Tanaka Kikinzoku,2
Takeuchi Manufacturing,2
Takasago International Corporation,2
Takara Holdings,2
Taiyo Nippon Sanso,2
Taisho Pharmaceutical,2
Taiheiyo Cement,2
Tadano Limited,2
TOA Corporation,2
TEAC Corporation,2
T. Hasegawa,2
"System Technology-i Co, Ltd",2
Sysmex Corporation,2
Suning.com,2
Mitsumi Electric,2
Mary Kay,2
Mitsui Chemicals,2
Cosan,2
Denka (company),2
Delek US,2
Dairy Farmers of America,2
Daikin,2
Daiichi Sankyo,2
Daifuku (company),2
Daicel,2
Cumerio,2
Cosmo Oil Company,2
Conforama,2
Evergy,2
Comsys,2
Commercial Bank of Africa (Tanzania),2
Comerica,2
Collins Foods,2
Cogeco,2
Cintas,2
Chiyoda Corporation,2
Chino Corporation,2
China Mobile,2
Descente,2
Diedrich Coffee,2
Disco Corporation,2
Dominion Energy,2
Euronics,2
Eurasian Bank,2
Epson,2
Enea SA,2
Empower Retirement,2
Eletrobras,2
Elecom,2
Eizo,2
Eir (telecommunications),2
Eiken Chemical,2
Ecobank,2
Ebara Corporation,2
ETX Studios,2
EMI,2
EDF Energy,2
Dyno Nobel,2
Duck Commander,2
Dowa Holdings,2
Dover Corporation,2
China Merchants Bank,2
China Construction Bank,2
Channel Four Television Corporation,2
Arctech Helsinki Shipyard,2
Architecture for Humanity,2
Aoni Production,2
Anritsu,2
Anglian Water,2
Anest Iwata,2
Alphabet Inc.,2
Alnylam Pharmaceuticals,2
Allied Telesis,2
Allegheny Health Network,2
Alibaba Group,2
Akebono Brake Industry,2
Aichi Steel,2
Agricultural Bank of China,2
Accor,2
Accesso,2
AMC Theatres,2
AECOM,2
ACE Aviation Holdings,2
A.B. Dick Company,2
Arcos Dorados Holdings,2
Asahi Kasei,2
Chang Hwa Bank,2
Atrium Health,2
Centrotherm Photovoltaics,2
Calsonic Kansei,2
Buro Happold,2
Brookfield Asset Management,2
Bristol Water,2
Bonjour Holdings,2
Blue Bell Creameries,2
Bentley,2
Banorte,2
Bank of Communications,2
Bank of China,2
Banco Credicoop,2
BanRegio,2
Babcock Borsig Service,2
BUT (retailer),2
BMV Group,2
BCE Inc.,2
AutoNation,2
Austal,2
Evergrande Group,2
"F5, Inc.",2
Mitsubishi Materials,2
Kaneka Corporation,2
Kurita Water Industries,2
Kureha Corporation,2
Kumagai Gumi,2
Kubota,2
Komori,2
Kobe Steel,2
Keumyoung Group,2
Keihin Corporation,2
Kansai Paint,2
Kaiser Permanente,2
FMC Corporation,2
KYB Corporation,2
KBR (company),2
Juki,2
Jatco,2
Japan Steel Works,2
Japan Radio Company,2
Japan Display,2
Janome,2
JGC Holdings Corporation,2
Kyowa Hakko Kirin,2
LMAB-Group,2
Latvijas Balzams,2
Live Nation (events promoter),2
Mitsubishi Heavy Industries,2
Mitsuba Corporation,2
Mind CTI,2
Microgen,2
Meyer Turku,2
Mercuria,2
Meidensha,2
Matsuura Machinery,2
Masood Textile Mills,2
Maserati,2
A. T. Cross Company,2
Marukome,2
Mandom,2
Makino,2
Mainichi Broadcasting System,2
Maeda Corporation,2
MOS Burger,2
MODEC,2
Lixil Group,2
JFE Holdings,2
JEOL,2
Ishida (company),2
Harris Corporation,2
Haldex (company),2
HP Inc.,2
Grupo Bimbo,2
Green Lake Jewelry Works,2
Good Energy,2
Globeride,2
Giuliani Partners,2
Gander RV,2
Gakken,2
GS Yuasa,2
GOME Electrical Appliances,2
GE Healthcare,2
Furuno,2
FuncoLand,2
Fujikura,2
Fuji Electric,2
Flowserve,2
Fiducia IT,2
FNSS Defence Systems,2
Hamamatsu Photonics,2
Haseko,2
Iseki,2
Hazama Ando,2
Inter Pipeline,2
Integrated Device Technology,2
Industrial and Commercial Bank of China,2
Icom Incorporated,2
Ibiden,2
Huawei,2
Hoya Corporation,2
Howa,2
House of Fraser,2
House Foods,2
Horiba,2
Hokuetsu Corporation,2
Hitachi,2
Hirose Electric Group,2
Heraeus,2
Henry Ford Health System,2
Helsinki Shipyard,2
HelloFresh,2
Healthpeak Properties,2
Zovio,2
